% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	3.21364e-14	67.7495	0
0.000214285	1	2	0	2.16925e-13	457.319	0
0.000214285	1	3	0	6.99701e-14	147.51	0
0.00121428	1	1	0	3.21372e-14	67.7512	0
0.00121428	1	2	0	2.16932e-13	457.333	0
0.00121428	1	3	0	6.99623e-14	147.493	0
0.00221428	1	1	0	3.2138e-14	67.7528	0
0.00221428	1	2	0	2.16939e-13	457.347	0
0.00221428	1	3	0	6.99545e-14	147.477	0
0.00321428	1	1	0	3.21388e-14	67.7545	0
0.00321428	1	2	0	2.16946e-13	457.362	0
0.00321428	1	3	0	6.99466e-14	147.46	0
0.00421428	1	1	0	3.21396e-14	67.7562	0
0.00421428	1	2	0	2.16952e-13	457.376	0
0.00421428	1	3	0	6.99388e-14	147.444	0
0.00521428	1	1	0	3.21404e-14	67.7579	0
0.00521428	1	2	0	2.16959e-13	457.39	0
0.00521428	1	3	0	6.9931e-14	147.427	0
0.00621428	1	1	0	3.21412e-14	67.7596	0
0.00621428	1	2	0	2.16966e-13	457.405	0
0.00621428	1	3	0	6.99232e-14	147.411	0
0.00721428	1	1	0	3.2142e-14	67.7613	0
0.00721428	1	2	0	2.16973e-13	457.419	0
0.00721428	1	3	0	6.99154e-14	147.395	0
0.00821428	1	1	0	3.21428e-14	67.763	0
0.00821428	1	2	0	2.1698e-13	457.433	0
0.00821428	1	3	0	6.99075e-14	147.378	0
0.00921428	1	1	0	3.21436e-14	67.7647	0
0.00921428	1	2	0	2.16986e-13	457.447	0
0.00921428	1	3	0	6.98997e-14	147.362	0
0.0102143	1	1	0	3.21444e-14	67.7664	0
0.0102143	1	2	0	2.16993e-13	457.462	0
0.0102143	1	3	0	6.98919e-14	147.345	0
0.0112143	1	1	0	3.21452e-14	67.768	0
0.0112143	1	2	0	2.17e-13	457.476	0
0.0112143	1	3	0	6.98841e-14	147.329	0
0.0122143	1	1	0	3.2146e-14	67.7697	0
0.0122143	1	2	0	2.17007e-13	457.49	0
0.0122143	1	3	0	6.98763e-14	147.312	0
0.0132143	1	1	0	3.21468e-14	67.7714	0
0.0132143	1	2	0	2.17013e-13	457.504	0
0.0132143	1	3	0	6.98685e-14	147.296	0
0.0142143	1	1	0	3.21476e-14	67.7731	0
0.0142143	1	2	0	2.1702e-13	457.518	0
0.0142143	1	3	0	6.98606e-14	147.279	0
0.0152143	1	1	0	3.21484e-14	67.7748	0
0.0152143	1	2	0	2.17027e-13	457.533	0
0.0152143	1	3	0	6.98528e-14	147.263	0
