NodeType,ID,X,Y,Z,IPidentifier,ThroughputMbps,CellID
gNB,0,803.672,753.118,10,10.0.0.5,,1
gNB,1,735.239,2018.45,10,10.0.0.9,,6
gNB,2,619.618,2450.59,10,10.0.0.13,,11
UE,0,1024.35,801.898,1.5,7.0.0.2,102.144,1
UE,1,720.562,810.991,1.5,7.0.0.3,102.144,1
UE,2,597.113,839.471,1.5,7.0.0.4,102.144,1
UE,3,814.758,778.313,1.5,7.0.0.5,102.144,1
UE,4,1206.53,716.87,1.5,7.0.0.6,101.717,1
UE,5,565.217,1968.7,1.5,7.0.0.7,30.0544,6
UE,6,838.326,1832.4,1.5,7.0.0.8,29.8496,6
UE,7,691.998,1672.3,1.5,7.0.0.9,21.0261,6
UE,8,884.448,1789.71,1.5,7.0.0.10,28.7915,6
UE,9,540.674,1749.75,1.5,7.0.0.11,58.6923,6
UE,10,448.109,2774.14,1.5,7.0.0.12,102.144,11
UE,11,431.263,2135.79,1.5,7.0.0.13,75.6053,6
UE,12,291.769,2077.68,1.5,7.0.0.14,81.3056,6
UE,13,783.116,2538.86,1.5,7.0.0.15,102.144,11
UE,14,904.322,1985.31,1.5,7.0.0.16,101.359,6
